ticket_id,customer_id,created_at,channel,language,subject,description,status,sla_breached
TKT-20001,C-43702,2026-06-27T15:46:00,chat,fr,Question générale,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,open,false
TKT-20002,C-43030,2026-07-30T17:28:00,in_app,fr,Mode sombre svp,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,pending,false
TKT-20003,C-25340,2026-06-28T10:53:00,phone,en,Wrong amount charged,I was charged 209 but my order total was 182. Please investigate and refund the difference.,open,false
TKT-20004,C-28904,2026-06-09T14:03:00,chat,fr,Mode sombre svp,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,solved,false
TKT-20005,C-35590,2026-07-09T16:19:00,in_app,fr,Supprimer mon compte,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,pending,false
TKT-20006,C-47719,2026-07-03T13:38:00,phone,en,General question,Just reaching out — not urgent. Wanted to share some feedback on the recent update.,pending,false
TKT-20007,C-42816,2026-07-12T12:02:00,in_app,fr,Facture non reçue,J'ai été facturé 311€ alors que le total était de 52€. Merci d'examiner et de rembourser.,pending,false
TKT-20008,C-33940,2026-06-26T16:03:00,chat,en,Package delayed,My order #88354 was supposed to arrive on 2026-07-20 but it's now 5 days late. Status still says 'in transit'.,open,false
TKT-20009,C-28251,2026-06-04T10:48:00,in_app,en,Package delayed,My order #58897 was supposed to arrive on 2026-07-20 but it's now 8 days late. Status still says 'in transit'.,open,false
TKT-20010,C-36945,2026-06-12T19:28:00,in_app,en,Invoice not received,I was charged 277 but my order total was 154. Please investigate and refund the difference.,pending,false
TKT-20011,C-11538,2026-06-17T13:46:00,in_app,en,Invoice not received,I was charged 378 but my order total was 164. Please investigate and refund the difference.,open,false
TKT-20012,C-12155,2026-06-11T08:32:00,chat,en,Delete my account,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,open,false
TKT-20013,C-49163,2026-07-17T08:18:00,phone,fr,Édition en masse du stock,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,open,false
TKT-20014,C-31310,2026-07-12T16:32:00,in_app,en,Dark mode please,Would love to see this added — it would save our team several hours per week. Happy to beta test.,open,false
TKT-20015,C-38834,2026-06-10T10:23:00,phone,en,Invoice not received,I was charged 270 but my order total was 30. Please investigate and refund the difference.,solved,false
TKT-20016,C-17644,2026-07-22T08:50:00,email,en,Partnership inquiry,Just reaching out — not urgent. Wanted to share some feedback on the recent update.,open,false
TKT-20017,C-23844,2026-07-28T08:47:00,in_app,en,Bulk edit for inventory,Would love to see this added — it would save our team several hours per week. Happy to beta test.,solved,false
TKT-20018,C-29594,2026-07-26T12:36:00,phone,fr,Demande de partenariat,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,pending,false
TKT-20019,C-15203,2026-07-14T20:44:00,phone,en,Dark mode please,Would love to see this added — it would save our team several hours per week. Happy to beta test.,solved,false
TKT-20020,C-15276,2026-07-15T19:47:00,chat,en,Wrong item delivered,My order #78202 was supposed to arrive on 2026-07-20 but it's now 5 days late. Status still says 'in transit'.,pending,false
TKT-20021,C-43181,2026-06-21T13:33:00,in_app,fr,Erreur de recherche,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,open,false
TKT-20022,C-31631,2026-06-21T19:32:00,chat,en,Search returns error,When I click checkout the spinner spins forever and nothing happens on Chrome/Safari. Console shows a 500 error.,open,false
TKT-20023,C-17489,2026-06-10T12:11:00,in_app,fr,Réinitialisation mot de passe,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,pending,false
TKT-20024,C-29584,2026-08-01T13:21:00,in_app,fr,Ajouter l'export CSV,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,open,false
TKT-20025,C-20437,2026-06-03T19:21:00,email,en,Checkout button broken,When I click checkout the spinner spins forever and nothing happens on Chrome/Safari. Console shows a 500 error.,solved,false
TKT-20026,C-40611,2026-06-09T18:47:00,phone,fr,Paiement échoue sur mobile,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,solved,true
TKT-20027,C-43654,2026-07-11T13:55:00,email,fr,Suivi bloqué,Ma commande #71323 devait arriver le 2026-07-20 mais a maintenant 4 jours de retard. Toujours 'en transit'.,open,false
TKT-20028,C-49639,2026-07-20T15:47:00,phone,fr,Ajouter l'export CSV,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,pending,false
TKT-20029,C-46123,2026-07-03T15:55:00,email,fr,Colis endommagé,Ma commande #55060 devait arriver le 2026-07-20 mais a maintenant 3 jours de retard. Toujours 'en transit'.,open,false
TKT-20030,C-18050,2026-07-24T11:03:00,phone,fr,Paiement échoue sur mobile,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,pending,false
TKT-20031,C-22328,2026-07-23T15:32:00,in_app,en,Cannot reset password,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,open,false
TKT-20032,C-32185,2026-07-24T08:37:00,chat,en,Invoice not received,I was charged 199 but my order total was 16. Please investigate and refund the difference.,open,false
TKT-20033,C-22529,2026-07-26T17:05:00,in_app,en,Payment fails on mobile,When I click checkout the spinner spins forever and nothing happens on Chrome/Safari. Console shows a 500 error.,solved,true
TKT-20034,C-15417,2026-06-20T10:38:00,phone,fr,Facturation erronée,J'ai été facturé 282€ alors que le total était de 257€. Merci d'examiner et de rembourser.,open,true
TKT-20035,C-32891,2026-07-14T17:51:00,in_app,en,Two-factor auth problem,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,solved,false
TKT-20036,C-35751,2026-07-31T13:31:00,chat,fr,Retour,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,open,false
TKT-20037,C-23758,2026-06-04T18:11:00,phone,en,Merge two accounts,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,open,false
TKT-20038,C-46417,2026-07-16T10:39:00,phone,fr,Suivi bloqué,Ma commande #68294 devait arriver le 2026-07-20 mais a maintenant 3 jours de retard. Toujours 'en transit'.,open,false
TKT-20039,C-24356,2026-06-12T13:50:00,email,en,SSO integration request,Would love to see this added — it would save our team several hours per week. Happy to beta test.,pending,false
TKT-20040,C-42247,2026-07-15T16:35:00,chat,en,Subscription renewal issue,I was charged 268 but my order total was 98. Please investigate and refund the difference.,pending,false
TKT-20041,C-34448,2026-06-08T19:10:00,in_app,fr,Erreur de recherche,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,pending,false
TKT-20042,C-23789,2026-07-04T09:35:00,chat,en,Delete my account,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,solved,false
TKT-20043,C-48832,2026-06-14T10:13:00,chat,en,Dark mode please,Would love to see this added — it would save our team several hours per week. Happy to beta test.,solved,false
TKT-20044,C-12752,2026-07-07T19:21:00,phone,fr,Colis en retard,Ma commande #95681 devait arriver le 2026-07-20 mais a maintenant 3 jours de retard. Toujours 'en transit'.,solved,false
