review_id,product_id,product_name,created_at,rating,language,title,body,verified
REV-30001,P-1004,InsightDeck Dashboard,2026-07-09T00,5,fr,Conforme,L'intégration était fluide et l'interface intuitive. Le support nous a aidés à migrer.,true
REV-30002,P-1002,AcmeFlow CRM Add-on,2026-06-29T00,5,en,Works as expected,The onboarding was smooth and the UI is intuitive. Support helped us migrate from our old tool.,true
REV-30003,P-1005,FormBuilder Pro,2026-07-18T00,3,fr,Mitigé,Mitigé. Ça fait le job mais rien ne se démarque. Je regarde les alternatives vu le prix.,false
REV-30004,P-1002,AcmeFlow CRM Add-on,2026-07-21T00,5,en,Works as expected,The onboarding was smooth and the UI is intuitive. Support helped us migrate from our old tool.,true
REV-30005,P-1005,FormBuilder Pro,2026-06-25T00,5,fr,J'adore,Solide et fiable. Les intégrations ont fonctionné immédiatement. Je recommande pour petites équipes.,true
REV-30006,P-1004,InsightDeck Dashboard,2026-07-30T00,3,fr,Mitigé,Mitigé. Ça fait le job mais rien ne se démarque. Je regarde les alternatives vu le prix.,true
REV-30007,P-1003,DataPipe Connector Pack,2026-07-29T00,1,fr,Plein de bugs,Énormément de bugs après la dernière mise à jour. Le tableau de bord ne charge plus. Frustrant.,true
REV-30008,P-1006,InboxZero Assistant,2026-07-29T00,3,fr,Mitigé,Mitigé. Ça fait le job mais rien ne se démarque. Je regarde les alternatives vu le prix.,true
REV-30009,P-1005,FormBuilder Pro,2026-06-04T00,1,fr,Décevant,Énormément de bugs après la dernière mise à jour. Le tableau de bord ne charge plus. Frustrant.,true
REV-30010,P-1003,DataPipe Connector Pack,2026-06-17T00,4,fr,Meilleur achat,Meilleur achat de l'année. ROI visible en un mois. Toute l'équipe a adopté l'outil.,true
REV-30011,P-1004,InsightDeck Dashboard,2026-06-21T00,5,en,Great product,I absolutely love it. Saved me hours every week. The automation rules are a game changer.,true
REV-30012,P-1002,AcmeFlow CRM Add-on,2026-06-25T00,4,fr,J'adore,Meilleur achat de l'année. ROI visible en un mois. Toute l'équipe a adopté l'outil.,false
REV-30013,P-1001,AcmeFlow Project Manager,2026-06-10T00,1,en,Bugs everywhere,Disappointed — key features promised on the roadmap are missing. Pricing feels high for what's included.,true
REV-30014,P-1001,AcmeFlow Project Manager,2026-07-05T00,5,en,Great product,Solid and reliable. Integrations with our stack just worked. Would recommend for small teams.,true
REV-30015,P-1001,AcmeFlow Project Manager,2026-07-23T00,5,en,Great product,Solid and reliable. Integrations with our stack just worked. Would recommend for small teams.,false
REV-30016,P-1002,AcmeFlow CRM Add-on,2026-07-13T00,3,fr,Plutôt bien,Fonctionne bien 80% du temps mais ralentissements aux heures de pointe. Reporting à enrichir.,false
REV-30017,P-1003,DataPipe Connector Pack,2026-07-29T00,4,en,Best purchase this year,The onboarding was smooth and the UI is intuitive. Support helped us migrate from our old tool.,false
REV-30018,P-1003,DataPipe Connector Pack,2026-07-20T00,4,en,Great product,The onboarding was smooth and the UI is intuitive. Support helped us migrate from our old tool.,true
REV-30019,P-1004,InsightDeck Dashboard,2026-06-20T00,3,fr,Plutôt bien,Mitigé. Ça fait le job mais rien ne se démarque. Je regarde les alternatives vu le prix.,true
REV-30020,P-1002,AcmeFlow CRM Add-on,2026-06-19T00,2,fr,Plein de bugs,Décevant — des fonctionnalités clés promises sont absentes. Prix élevé pour l'offre.,false
REV-30021,P-1001,AcmeFlow Project Manager,2026-07-21T00,1,en,Disappointing,Disappointed — key features promised on the roadmap are missing. Pricing feels high for what's included.,false
REV-30022,P-1003,DataPipe Connector Pack,2026-06-19T00,4,en,Love it,Best purchase this year. ROI was visible within a month. The team adopted it immediately.,false
REV-30023,P-1004,InsightDeck Dashboard,2026-06-23T00,5,en,Love it,I absolutely love it. Saved me hours every week. The automation rules are a game changer.,true
REV-30024,P-1003,DataPipe Connector Pack,2026-07-15T00,3,fr,Mitigé,Mitigé. Ça fait le job mais rien ne se démarque. Je regarde les alternatives vu le prix.,true
REV-30025,P-1004,InsightDeck Dashboard,2026-07-06T00,4,fr,Conforme,Meilleur achat de l'année. ROI visible en un mois. Toute l'équipe a adopté l'outil.,false
REV-30026,P-1002,AcmeFlow CRM Add-on,2026-07-13T00,3,fr,Plutôt bien,Fonctionne bien 80% du temps mais ralentissements aux heures de pointe. Reporting à enrichir.,true
REV-30027,P-1001,AcmeFlow Project Manager,2026-07-31T00,1,fr,Plein de bugs,Énormément de bugs après la dernière mise à jour. Le tableau de bord ne charge plus. Frustrant.,true
REV-30028,P-1002,AcmeFlow CRM Add-on,2026-07-27T00,1,fr,Décevant,Décevant — des fonctionnalités clés promises sont absentes. Prix élevé pour l'offre.,true
REV-30029,P-1004,InsightDeck Dashboard,2026-06-06T00,3,en,Just okay,Works well 80% of the time but we hit occasional slowdowns during peak hours. Reporting could be richer.,true
REV-30030,P-1004,InsightDeck Dashboard,2026-07-31T00,4,fr,Conforme,Meilleur achat de l'année. ROI visible en un mois. Toute l'équipe a adopté l'outil.,true
REV-30031,P-1001,AcmeFlow Project Manager,2026-07-21T00,5,fr,Meilleur achat,J'adore. Ça m'a fait gagner des heures chaque semaine. Les règles d'automatisation sont géniales.,false
REV-30032,P-1001,AcmeFlow Project Manager,2026-06-16T00,3,fr,Mitigé,Mitigé. Ça fait le job mais rien ne se démarque. Je regarde les alternatives vu le prix.,false
REV-30033,P-1005,FormBuilder Pro,2026-06-24T00,5,en,Works as expected,I absolutely love it. Saved me hours every week. The automation rules are a game changer.,true
REV-30034,P-1001,AcmeFlow Project Manager,2026-07-04T00,5,fr,J'adore,Meilleur achat de l'année. ROI visible en un mois. Toute l'équipe a adopté l'outil.,true
REV-30035,P-1004,InsightDeck Dashboard,2026-07-06T00,3,en,Just okay,Works well 80% of the time but we hit occasional slowdowns during peak hours. Reporting could be richer.,false
REV-30036,P-1004,InsightDeck Dashboard,2026-06-23T00,3,en,Mostly good,Works well 80% of the time but we hit occasional slowdowns during peak hours. Reporting could be richer.,true
REV-30037,P-1003,DataPipe Connector Pack,2026-07-17T00,5,en,Great product,I absolutely love it. Saved me hours every week. The automation rules are a game changer.,true
REV-30038,P-1005,FormBuilder Pro,2026-06-19T00,4,en,Great product,Best purchase this year. ROI was visible within a month. The team adopted it immediately.,false
REV-30039,P-1004,InsightDeck Dashboard,2026-06-19T00,5,fr,Super produit,Meilleur achat de l'année. ROI visible en un mois. Toute l'équipe a adopté l'outil.,true
REV-30040,P-1002,AcmeFlow CRM Add-on,2026-06-29T00,5,fr,J'adore,L'intégration était fluide et l'interface intuitive. Le support nous a aidés à migrer.,true
REV-30041,P-1002,AcmeFlow CRM Add-on,2026-06-26T00,5,en,Works as expected,The onboarding was smooth and the UI is intuitive. Support helped us migrate from our old tool.,true
REV-30042,P-1004,InsightDeck Dashboard,2026-07-07T00,5,fr,J'adore,L'intégration était fluide et l'interface intuitive. Le support nous a aidés à migrer.,true
REV-30043,P-1006,InboxZero Assistant,2026-07-05T00,2,en,Bugs everywhere,So many bugs after the last update. The dashboard doesn't load and support is slow to respond. Frustrating.,true
REV-30044,P-1004,InsightDeck Dashboard,2026-07-10T00,4,fr,Conforme,L'intégration était fluide et l'interface intuitive. Le support nous a aidés à migrer.,false
REV-30045,P-1001,AcmeFlow Project Manager,2026-06-20T00,5,en,Love it,I absolutely love it. Saved me hours every week. The automation rules are a game changer.,true
REV-30046,P-1003,DataPipe Connector Pack,2026-06-23T00,4,en,Best purchase this year,The onboarding was smooth and the UI is intuitive. Support helped us migrate from our old tool.,false
REV-30047,P-1005,FormBuilder Pro,2026-07-26T00,2,en,Bugs everywhere,So many bugs after the last update. The dashboard doesn't load and support is slow to respond. Frustrating.,true
REV-30048,P-1006,InboxZero Assistant,2026-07-22T00,3,en,Mostly good,It's just okay. Does the job but nothing stands out. Considering alternatives for the price.,true
REV-30049,P-1001,AcmeFlow Project Manager,2026-06-25T00,4,en,Love it,I absolutely love it. Saved me hours every week. The automation rules are a game changer.,true
REV-30050,P-1002,AcmeFlow CRM Add-on,2026-06-06T00,4,fr,Super produit,Meilleur achat de l'année. ROI visible en un mois. Toute l'équipe a adopté l'outil.,true
REV-30051,P-1005,FormBuilder Pro,2026-07-09T00,3,en,Just okay,Works well 80% of the time but we hit occasional slowdowns during peak hours. Reporting could be richer.,true
REV-30052,P-1001,AcmeFlow Project Manager,2026-07-12T00,5,fr,J'adore,Meilleur achat de l'année. ROI visible en un mois. Toute l'équipe a adopté l'outil.,true
REV-30053,P-1003,DataPipe Connector Pack,2026-07-06T00,4,en,Great product,The onboarding was smooth and the UI is intuitive. Support helped us migrate from our old tool.,true
REV-30054,P-1006,InboxZero Assistant,2026-06-15T00,2,fr,Décevant,Décevant — des fonctionnalités clés promises sont absentes. Prix élevé pour l'offre.,false
REV-30055,P-1003,DataPipe Connector Pack,2026-06-18T00,1,fr,Plein de bugs,Décevant — des fonctionnalités clés promises sont absentes. Prix élevé pour l'offre.,true
REV-30056,P-1003,DataPipe Connector Pack,2026-07-17T00,5,fr,Super produit,J'adore. Ça m'a fait gagner des heures chaque semaine. Les règles d'automatisation sont géniales.,true
REV-30057,P-1006,InboxZero Assistant,2026-06-21T00,5,en,Best purchase this year,Best purchase this year. ROI was visible within a month. The team adopted it immediately.,false
REV-30058,P-1001,AcmeFlow Project Manager,2026-06-11T00,3,fr,Plutôt bien,Fonctionne bien 80% du temps mais ralentissements aux heures de pointe. Reporting à enrichir.,true
REV-30059,P-1005,FormBuilder Pro,2026-07-13T00,3,fr,Plutôt bien,Fonctionne bien 80% du temps mais ralentissements aux heures de pointe. Reporting à enrichir.,true
REV-30060,P-1006,InboxZero Assistant,2026-07-20T00,3,fr,Mitigé,Fonctionne bien 80% du temps mais ralentissements aux heures de pointe. Reporting à enrichir.,true
