order_id,customer_id,order_date,channel,region,currency,gross_revenue_eur,discount_eur,net_revenue_eur,units
ORD-50001,C-26049,2026-06-03,web,FR,EUR,51.00,0.00,51.00,2
ORD-50002,C-45741,2026-06-03,web,FR,EUR,101.40,0.00,101.40,1
ORD-50003,C-11952,2026-06-03,web,FR,EUR,299.82,0.00,299.82,1
ORD-50004,C-49453,2026-06-03,web,FR,EUR,136.20,27.24,108.96,1
ORD-50005,C-37493,2026-06-03,web,FR,EUR,286.95,57.39,229.56,2
ORD-50006,C-10425,2026-06-03,web,FR,EUR,237.65,0.00,237.65,2
ORD-50007,C-28210,2026-06-03,web,FR,EUR,347.18,0.00,347.18,2
ORD-50008,C-16698,2026-06-03,web,FR,EUR,134.74,0.00,134.74,1
ORD-50009,C-32541,2026-06-03,web,FR,EUR,207.17,0.00,207.17,3
ORD-50010,C-45142,2026-06-03,web,FR,EUR,395.14,39.51,355.63,1
ORD-50011,C-15164,2026-06-03,web,FR,EUR,468.17,46.82,421.35,3
ORD-50012,C-33700,2026-06-03,web,FR,EUR,404.94,80.99,323.95,2
ORD-50013,C-24935,2026-06-03,web,FR,EUR,350.01,0.00,350.01,3
ORD-50014,C-16619,2026-06-03,web,FR,EUR,473.50,0.00,473.50,4
ORD-50015,C-20659,2026-06-03,web,FR,EUR,162.31,0.00,162.31,3
ORD-50016,C-14679,2026-06-03,web,FR,EUR,196.32,0.00,196.32,2
ORD-50017,C-20708,2026-06-03,web,FR,EUR,275.02,0.00,275.02,4
ORD-50018,C-24392,2026-06-03,web,FR,EUR,206.96,41.39,165.57,3
ORD-50019,C-25010,2026-06-03,web,FR,EUR,410.85,0.00,410.85,1
ORD-50020,C-27546,2026-06-03,web,FR,EUR,394.22,39.42,354.80,1
ORD-50021,C-30622,2026-06-03,web,FR,EUR,132.83,26.57,106.26,2
ORD-50022,C-40071,2026-06-03,web,FR,EUR,328.39,32.84,295.55,2
ORD-50023,C-46789,2026-06-03,web,FR,EUR,156.55,0.00,156.55,3
ORD-50024,C-48242,2026-06-03,web,FR,EUR,368.69,36.87,331.82,4
ORD-50025,C-43392,2026-06-03,web,FR,EUR,199.28,0.00,199.28,4
ORD-50026,C-17185,2026-06-03,web,FR,EUR,80.00,0.00,80.00,2
ORD-50027,C-49086,2026-06-03,web,FR,EUR,316.08,31.61,284.47,1
ORD-50028,C-40674,2026-06-03,web,FR,EUR,209.30,41.86,167.44,3
ORD-50029,C-17507,2026-06-03,web,FR,EUR,467.27,0.00,467.27,3
ORD-50030,C-17310,2026-06-03,web,FR,EUR,378.18,0.00,378.18,3
ORD-50031,C-10212,2026-06-03,web,FR,EUR,231.30,23.13,208.17,3
ORD-50032,C-43271,2026-06-03,web,FR,EUR,467.63,0.00,467.63,1
ORD-50033,C-43270,2026-06-03,web,FR,EUR,423.03,0.00,423.03,2
ORD-50034,C-45348,2026-06-03,web,FR,EUR,107.25,0.00,107.25,1
ORD-50035,C-11276,2026-06-03,web,FR,EUR,303.54,30.35,273.19,1
