event_date,page_path,country,device,sessions,pageviews,bounce_rate,avg_session_sec
2026-06-03,/,FR,desktop,511,687,28.25,222.10
2026-06-03,/,FR,mobile,479,934,40.54,177.72
2026-06-03,/,FR,tablet,98,156,46.86,312.69
2026-06-03,/,EU,desktop,531,677,56.99,175.60
2026-06-03,/,EU,mobile,450,638,40.03,280.86
2026-06-03,/,EU,tablet,81,104,29.98,100.79
2026-06-03,/,UK,desktop,547,1094,50.87,161.50
2026-06-03,/,UK,mobile,441,616,43.22,313.92
2026-06-03,/,UK,tablet,101,207,30.46,176.76
2026-06-03,/,US,desktop,553,741,58.31,62.36
2026-06-03,/,US,mobile,386,714,58.66,154.71
2026-06-03,/,US,tablet,97,150,55.86,300.79
2026-06-03,/pricing,FR,desktop,285,455,34.96,95.25
2026-06-03,/pricing,FR,mobile,261,338,55.71,107.53
2026-06-03,/pricing,FR,tablet,57,91,61.68,118.80
2026-06-03,/pricing,EU,desktop,326,523,40.49,124.50
2026-06-03,/pricing,EU,mobile,274,418,36.21,150.87
2026-06-03,/pricing,EU,tablet,65,126,36.91,218.60
2026-06-03,/pricing,UK,desktop,289,480,43.77,145.22
2026-06-03,/pricing,UK,mobile,247,349,49.70,291.11
2026-06-03,/pricing,UK,tablet,56,101,40.59,206.26
2026-06-03,/pricing,US,desktop,282,420,33.32,169.56
2026-06-03,/pricing,US,mobile,321,444,48.93,173.74
2026-06-03,/pricing,US,tablet,60,121,37.26,94.94
2026-06-03,/product,FR,desktop,321,610,37.38,190.78
2026-06-03,/product,FR,mobile,295,404,56.23,311.57
2026-06-03,/product,FR,tablet,73,150,60.89,308.79
2026-06-03,/product,EU,desktop,399,810,40.94,284.59
2026-06-03,/product,EU,mobile,268,408,45.32,245.23
2026-06-03,/product,EU,tablet,73,123,37.30,188.27
2026-06-03,/product,UK,desktop,348,628,28.85,102.99
2026-06-03,/product,UK,mobile,316,614,50.73,269.42
2026-06-03,/product,UK,tablet,68,127,48.48,262.34
2026-06-03,/product,US,desktop,305,397,46.24,208.61
2026-06-03,/product,US,mobile,339,517,46.40,301.33
2026-06-03,/product,US,tablet,74,104,56.93,199.05
2026-06-03,/docs,FR,desktop,197,314,30.38,70.43
2026-06-03,/docs,FR,mobile,221,460,44.79,276.78
2026-06-03,/docs,FR,tablet,47,80,45.00,147.50
2026-06-03,/docs,EU,desktop,206,334,49.68,121.98
2026-06-03,/docs,EU,mobile,176,363,36.15,69.54
2026-06-03,/docs,EU,tablet,38,46,35.31,205.04
2026-06-03,/docs,UK,desktop,251,324,29.75,100.05
2026-06-03,/docs,UK,mobile,193,278,33.24,268.52
2026-06-03,/docs,UK,tablet,41,82,50.63,240.96
2026-06-03,/docs,US,desktop,220,278,29.95,152.49
2026-06-03,/docs,US,mobile,168,301,51.94,204.53
2026-06-03,/docs,US,tablet,38,57,38.75,99.60
2026-06-03,/blog/launch,FR,desktop,145,262,35.33,72.40
2026-06-03,/blog/launch,FR,mobile,129,226,34.60,302.30
2026-06-03,/blog/launch,FR,tablet,29,39,57.57,96.87
2026-06-03,/blog/launch,EU,desktop,136,167,51.68,273.42
2026-06-03,/blog/launch,EU,mobile,130,175,48.98,133.20
2026-06-03,/blog/launch,EU,tablet,27,44,46.67,259.29
2026-06-03,/blog/launch,UK,desktop,178,247,44.17,70.43
2026-06-03,/blog/launch,UK,mobile,136,253,52.80,64.67
2026-06-03,/blog/launch,UK,tablet,33,67,51.17,150.10
2026-06-03,/blog/launch,US,desktop,155,233,57.00,140.39
2026-06-03,/blog/launch,US,mobile,145,175,49.49,189.48
2026-06-03,/blog/launch,US,tablet,32,65,51.71,64.61
2026-06-03,/contact,FR,desktop,114,171,44.84,217.41
2026-06-03,/contact,FR,mobile,126,255,44.37,189.23
2026-06-03,/contact,FR,tablet,21,43,42.75,221.00
2026-06-03,/contact,EU,desktop,113,229,55.09,200.86
2026-06-03,/contact,EU,mobile,120,243,42.82,158.62
2026-06-03,/contact,EU,tablet,21,32,50.23,296.75
